feature_set,model,accuracy,precision,recall,f1,roc_auc
driver_recent_form,Logistic Regression,0.8953088737812325,0.6654510872420597,0.4936529680365297,0.5654598237312319,0.9156903163891872
driver_recent_form,Elastic Net Logistic Regression,0.8953087942207247,0.6655629301405565,0.49273972602739724,0.5649626261856732,0.9156979682705229
driver_recent_form,LDA,0.8833253905426425,0.583165886556948,0.5573931091739311,0.5688482663041607,0.9079444579167799
driver_recent_form,QDA,0.8752523858207262,0.5404752228637681,0.6694271481942715,0.5974717962803411,0.903828918763033
driver_recent_form,KNN,0.8958129691583692,0.6491575148703401,0.5400622665006227,0.58891247542946,0.8979231842887854
driver_recent_form,Decision Tree,0.8973270851814578,0.65320541183241,0.552835201328352,0.597811457741449,0.901244348456587
driver_recent_form,Random Forest,0.8872361077408396,0.6098356932704923,0.5181901203819013,0.5594459643080641,0.8920719975786262
driver_recent_form,Gradient Boosting,0.9001023943734807,0.6649373110928508,0.5619510170195101,0.6083067162743065,0.9200297855102905
standings_and_circuit_history,Logistic Regression,0.895183247739487,0.6754019852333568,0.4690618513906185,0.5527614497885752,0.9125606878062804
standings_and_circuit_history,Elastic Net Logistic Regression,0.8951833272999948,0.6758856007523777,0.4681527604815276,0.5523216638937153,0.9125460282846112
standings_and_circuit_history,LDA,0.8852175780985834,0.6276106578743208,0.42530510585305104,0.5063087190306659,0.9091164143490704
standings_and_circuit_history,QDA,0.8651620448641703,0.5133632295505839,0.5273017849730178,0.5199594105299046,0.88747505237497
standings_and_circuit_history,KNN,0.8849656895310305,0.6248446208468689,0.4244292237442922,0.5051799873678335,0.8936877312202227
standings_and_circuit_history,Decision Tree,0.8961914384937604,0.6500921698253517,0.5445994188459943,0.5914603997636649,0.8962952328596945
standings_and_circuit_history,Random Forest,0.8941737044565817,0.6581395671803164,0.4918555417185554,0.5626637746816476,0.9076747139053343
standings_and_circuit_history,Gradient Boosting,0.8946778793942263,0.6449724585823191,0.5327978414279784,0.5832811886650272,0.9169138303348777
standings_and_recent_form,Logistic Regression,0.8966960112339436,0.6742992913350675,0.49180987961809886,0.5675374843427875,0.9164747345088907
standings_and_recent_form,Elastic Net Logistic Regression,0.8966960112339436,0.6741748246755743,0.49180987961809886,0.567416925938533,0.9165152973810388
standings_and_recent_form,LDA,0.8868572406029095,0.6072108746492293,0.5236986301369864,0.5618770454526335,0.9123004022859617
standings_and_recent_form,QDA,0.8656668562858769,0.5134964571915264,0.6129846409298463,0.5582527630464105,0.8970446811523647
standings_and_recent_form,KNN,0.8893796269407792,0.6315132419765414,0.4854462432544624,0.5483254436168888,0.8972100444465514
standings_and_recent_form,Decision Tree,0.8934167657857992,0.6426581630214208,0.5191407222914073,0.5742296290453999,0.8958428328492409
standings_and_recent_form,Random Forest,0.8958132078398922,0.6666638651735397,0.4963719385637194,0.56865311559948,0.9082521939141106
standings_and_recent_form,Gradient Boosting,0.8974531090257418,0.655063103888121,0.5491697799916978,0.5966480286172481,0.9197497913813926
all_valid_features,Logistic Regression,0.8964435657428366,0.6701118186050868,0.500008302200083,0.5712922034878837,0.9182579662527115
all_valid_features,Elastic Net Logistic Regression,0.8964436453033444,0.6699069269067165,0.500008302200083,0.5712986825739189,0.9182926002843169
all_valid_features,LDA,0.8866043973092635,0.6046088112380927,0.5291448733914488,0.5637921872464775,0.9138661419141373
all_valid_features,QDA,0.8582242890274125,0.4918647961111864,0.6758032378580323,0.568967405416487,0.8952512874183987
all_valid_features,KNN,0.887866386083276,0.6381371550620906,0.4408136156081361,0.5207460832591223,0.8944740121688616
all_valid_features,Decision Tree,0.8922813577796254,0.6351393225455413,0.5254919053549191,0.5729969121385705,0.8954739030733334
all_valid_features,Random Forest,0.896569828268644,0.6849781786694538,0.4681527604815276,0.5557822258444245,0.9190786046955445
all_valid_features,Gradient Boosting,0.8953085555392015,0.6475942688176708,0.5337110834371108,0.5844323460223124,0.9201825359635383
